LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,DATE,INFLATION,INTEREST,UNEMPLOYMENT,GDP_CUBIC,GDP_LINEAR,SHARE_PRICES,GDPGAP_LINEAR,GDPGAP_CUBIC
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-01,3.231752,9.67,10.6,2.863962596,1.527769748,17.04774,-1.189419752,-1.194115017
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-02,3.546702,10.575,10.8,2.732339195,1.526840008,18.15087,-1.193434878,-1.202822592
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-03,3.531623,11.3,11,2.596224793,1.525910268,18.18951,-1.197450005,-1.211524532
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-04,3.532893,10.1625,10.8,2.45563994,1.524980528,18.33331,-1.201465131,-1.22021802
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-05,4.01475,9.75,10.6,2.310605185,1.524050789,18.68487,-1.205480258,-1.228900238
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-06,4.073004,9.4875,10.7,2.161141076,1.523121049,18.96522,-1.209495385,-1.237568369
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-07,4.654195,9.26,10.4,2.007268163,1.522191309,19.25701,-1.213510511,-1.246219595
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-08,4.471246,9.1125,10.3,1.849006995,1.521261569,19.42118,-1.217525638,-1.254851099
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-09,4.330194,9.0625,10.2,1.686378121,1.52033183,18.92073,-1.221540765,-1.263460064
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-10,4.321442,8.71,10.3,1.51940209,1.51940209,18.42432,-1.225555891,-1.272043671
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-11,4.230911,8.825,10.3,1.348803121,1.39933582,19.41044,-1.229571018,-1.280599104
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1985-12,4.597746,9.2375,10.1,1.178120117,1.279269549,20.01808,-1.233586144,-1.289123546
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-01,4.56996,10.16,9.8,-0.440677464,0.171132248,19.81674,-1.571618473,-1.581400486
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-02,4.652767,11.725,9.9,-0.413870795,0.148777342,19.50117,-1.556319661,-1.575604441
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-03,5.176029,11.025,9.8,-0.382639298,0.126422437,20.75655,-1.541020849,-1.56953165
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-04,5.329441,9.55,9.7,-0.34686319,0.104067531,21.50653,-1.525722036,-1.563184611
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-05,5.59598,8.575,9.5,-0.30642269,0.081712625,21.37744,-1.510423224,-1.556565823
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-06,5.233273,8.7,9.6,-0.261198013,0.05935772,21.43337,-1.495124411,-1.549677785
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-07,5.410159,8.47,9.6,-0.211069379,0.037002814,20.88961,-1.479825599,-1.542522997
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-08,5.399315,8.5125,9.6,-0.155917004,0.014647908,21.00322,-1.464526786,-1.535103956
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-09,5.164577,8.35,9.5,-0.095621107,-0.007706997,21.1095,-1.449227974,-1.527423161
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-10,5.566557,8.44,9.4,-0.030061903,-0.030061903,21.06047,-1.433929161,-1.519483112
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-11,5.696922,8.3875,9.4,0.040507509,0.029792689,21.25282,-1.418630349,-1.511286308
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1986-12,5.638344,8.36,9.5,0.114342511,0.089647281,21.24382,-1.403331536,-1.502835246
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-01,5.493667,7.925,9.5,2.829669127,1.917712503,22.59711,-0.039492463,-0.035964074
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-02,5.129279,7.4375,9.5,2.810290367,1.96098815,24.38746,-0.021948889,-0.014863315
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-03,4.589874,7.175,9.4,2.781959595,2.004263798,25.84432,-0.004405316,0.006263176
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-04,4.772366,7.62,9.2,2.744369735,2.047539445,26.40579,0.013138258,0.027412336
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-05,4.469791,8.25,8.9,2.697213707,2.090815092,26.16261,0.030681832,0.048581102
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-06,4.233639,8.4625,8.9,2.640184434,2.134090739,25.89621,0.048225406,0.069766411
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-07,4.118694,8.64,8.7,2.572974837,2.177366386,27.41136,0.065768979,0.090965197
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-08,4.408739,9.1375,8.6,2.495277839,2.220642033,28.19837,0.083312553,0.112174398
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-09,4.465325,9.36,8.4,2.406786362,2.26391768,27.38528,0.100856127,0.133390951
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-10,4.028063,9.1625,8.3,2.307193327,2.307193327,23.96031,0.1183997,0.154611791
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-11,4.119877,8.775,8.2,2.196850129,2.205633294,20.63492,0.135943274,0.175833855
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1987-12,4.164541,8.97,8,2.078742055,2.104073261,21.66177,0.153486848,0.19705408
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-01,4.071493,8.7125,8.1,1.618472466,1.436584999,21.93933,1.695086912,1.706108982
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-02,4.455365,8.55,7.8,1.610424096,1.438957009,21.54042,1.692852493,1.714623674
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-03,5.119831,8.59,7.8,1.600129892,1.441329019,22.99191,1.690618073,1.722866946
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-04,4.554647,8.8625,7.7,1.587503496,1.443701028,23.38098,1.688383653,1.730840339
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-05,4.523265,9.0375,7.8,1.572458552,1.446073038,22.57626,1.686149233,1.738545392
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-06,4.77013,9.37,7.6,1.554908701,1.448445047,23.63163,1.683914813,1.745983645
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-07,4.633518,9.4125,7.8,1.534767587,1.450817057,23.81504,1.681680393,1.753156637
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-08,4.508104,9.91,7.8,1.511948851,1.453189067,22.97043,1.679445973,1.760065908
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-09,4.68032,10.475,7.8,1.486366136,1.455561076,22.81302,1.677211553,1.766712996
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-10,5.101283,10.4375,7.8,1.457933086,1.457933086,23.56865,1.674977133,1.773099443
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-11,5.029753,10.85,7.8,1.426451165,1.400705615,22.83081,1.672742713,1.779226786
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1988-12,4.909114,11.1125,7.5,1.39127313,1.343478143,23.20399,1.670508293,1.785096566
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-01,5.338311,11.2875,7.5,1.853530796,1.08372709,24.43984,1.45246994,1.462990958
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-02,5.253483,11.5625,7.6,1.785578774,1.090059656,25.23675,1.431060542,1.451979298
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-03,5.014452,12.21,7.5,1.714815355,1.096392221,25.0548,1.409651144,1.440841625
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-04,5.042872,12.475,7.8,1.641240157,1.102724787,24.95612,1.388241746,1.429575205
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-05,5.434981,12.402,7.7,1.564852796,1.109057352,25.3968,1.366832349,1.418177308
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-06,5.558535,12.3125,7.5,1.485652892,1.115389918,26.22531,1.345422951,1.406645199
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-07,5.690314,12.225,7.5,1.40364006,1.121722483,26.90199,1.324013553,1.394976147
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-08,5.711531,12.292,7.3,1.318813919,1.128055049,27.80058,1.302604155,1.383167418
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-09,5.790401,12.3275,7.3,1.231174087,1.134387614,27.43919,1.281194757,1.371216281
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-10,5.481175,12.33,7.2,1.14072018,1.14072018,27.57881,1.259785359,1.359120002
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-11,5.403779,12.352,7.5,1.047752677,1.064866471,27.45384,1.238375961,1.346875849
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1989-12,5.452373,12.345,7.7,0.953775496,0.989012761,27.60259,1.216966564,1.33448109
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-01,5.332558,12.244,7.9,1.741997734,0.79410415,25.83497,-0.707667322,-0.703801285
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-02,5.201482,12.8425,7.7,1.689134627,0.810621482,25.71154,-0.748274195,-0.740926552
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-03,4.909041,13.3575,7.3,1.627910844,0.827138815,25.38237,-0.788881068,-0.778426874
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-04,4.849649,13.515,7.6,1.558058705,0.843656147,23.29995,-0.829487941,-0.816292872
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-05,4.464878,13.76,7.8,1.479310525,0.860173479,24.9806,-0.870094814,-0.85451517
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-06,4.246859,13.8175,7.6,1.391398623,0.876690812,24.71566,-0.910701687,-0.893084389
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-07,3.979525,13.675,7.9,1.294055315,0.893208144,24.83561,-0.951308561,-0.931991152
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-08,4.041532,13.256,8.1,1.187012921,0.909725476,23.33691,-0.991915434,-0.971226082
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-09,4.015618,12.755,8.5,1.070003757,0.926242809,22.03348,-1.032522307,-1.010779802
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-10,4.154345,12.578,8.8,0.942760141,0.942760141,21.48853,-1.07312918,-1.050642934
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-11,4.292303,12.405,9.1,0.805551738,0.807072821,21.97559,-1.113736053,-1.0908061
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1990-12,4.094698,12.05,9.5,0.660797607,0.671385501,22.71274,-1.154342926,-1.131259923
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-01,6.339197,11.366,9.8,-2.922090356,-1.358170769,22.82572,-4.73800855,-4.756515823
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-02,6.404633,10.52,10.2,-2.798483033,-1.365826078,24.14637,-4.748269337,-4.784744997
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-03,6.782055,9.9575,10.5,-2.66480568,-1.373481388,24.37881,-4.758530124,-4.812440339
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-04,6.724909,9.7075,10.3,-2.520819789,-1.381136697,24.19191,-4.76879091,-4.839606898
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-05,6.529452,9.198,10.2,-2.36628685,-1.388792007,24.731,-4.779051697,-4.866249726
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-06,6.57146,8.8325,10.5,-2.20096835,-1.396447317,24.17043,-4.789312483,-4.892373875
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-07,6.323826,8.76,10.5,-2.024625782,-1.404102626,24.68525,-4.79957327,-4.917984394
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-08,6.409709,8.7225,10.5,-1.837020633,-1.411757936,24.53357,-4.809834057,-4.943086335
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-09,6.064668,8.59,10.3,-1.637914394,-1.419413245,23.62688,-4.820094843,-4.967684749
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-10,5.676626,8.366,10.3,-1.427068555,-1.427068555,24.51871,-4.83035563,-4.991784688
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-11,5.64474,7.8475,10.4,-1.205157884,-1.237735631,24.04972,-4.840616416,-5.015391201
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1991-12,5.331289,7.455,10.3,-0.976510269,-1.048402706,24.495,-4.850877203,-5.03850934
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-01,3.021212,7.31,10.4,0.164195915,0.087246991,25.07914,-5.747761921,-5.753707349
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-02,2.636748,7.2525,10.5,0.152960591,0.085652166,24.98025,-5.741697421,-5.753547029
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-03,2.301786,7.54,10.9,0.14193549,0.084057341,23.79607,-5.73563292,-5.753343048
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-04,2.300686,7.118,10.7,0.131147366,0.082462516,23.40149,-5.72956842,-5.75309299
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-05,2.027675,6.6175,10.9,0.120622978,0.080867691,23.62723,-5.723503919,-5.752794442
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-06,1.85885,6.0325,11.4,0.110389083,0.079272866,23.62563,-5.717439419,-5.752444989
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-07,1.836257,5.574,11.3,0.100472437,0.077678042,24.01422,-5.711374918,-5.752042219
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-08,1.52549,5.1725,11.7,0.090899798,0.076083217,23.73177,-5.705310418,-5.751583715
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-09,1.74555,5.038,11.6,0.081697922,0.074488392,22.99923,-5.699245917,-5.751067065
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-10,1.709538,7.6375,11.4,0.072893567,0.072893567,23.26591,-5.693181417,-5.750489854
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-11,1.738142,6.9325,12.1,0.064623004,0.077815701,22.89427,-5.687116917,-5.749849668
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1992-12,1.991481,7.9,11.7,0.057460564,0.082737835,23.36578,-5.681052416,-5.749144093
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-01,2.053445,6.9925,11.2,0.451232413,0.6308131,23.05216,-5.126850168,-5.131183893
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-02,2.214684,6.395,11,0.468166624,0.631827896,24.07189,-5.106323959,-5.114716885
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-03,1.822994,5.61,11.2,0.486069334,0.632842692,25.12321,-5.085797751,-5.097981077
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-04,1.799642,5.275,11.6,0.504957684,0.633857488,26.42713,-5.065271542,-5.080982192
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-05,1.765646,5.325,11.6,0.524848819,0.634872285,27.07759,-5.044745333,-5.063725955
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-06,1.672729,4.88,11.7,0.545759882,0.635887081,27.66124,-5.024219125,-5.046218088
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-07,1.864761,4.4725,11.6,0.567708015,0.636901877,27.66724,-5.003692916,-5.028464316
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-08,2.034199,4.3075,11.2,0.590710361,0.637916673,28.85504,-4.983166707,-5.010470362
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-09,1.918744,4.786,11.5,0.614784063,0.638931469,27.83029,-4.962640499,-4.99224195
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-10,2.04335,4.7375,11.3,0.639946265,0.639946265,29.6779,-4.94211429,-4.973784804
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-11,2.092404,4.3625,11.2,0.666169335,0.666994961,29.15255,-4.921588081,-4.955104647
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1993-12,1.876592,4.092,11.4,0.693246547,0.694043658,30.13741,-4.901061873,-4.936207203
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-01,1.651087,3.8725,11.4,1.323172589,1.339612044,31.76527,-3.092095083,-3.079441773
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-02,0.2502425,3.805,11.1,1.347354596,1.354496116,30.85161,-3.089434656,-3.064419073
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-03,0.3734141,4.206,10.6,1.369886417,1.369380189,30.19453,-3.086774229,-3.049686326
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-04,0.2551512,5.8875,10.9,1.390674776,1.384264262,29.75865,-3.084113801,-3.035242447
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-05,-0.1555793,6.285,10.7,1.409626394,1.399148335,30.17465,-3.081453374,-3.021086354
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-06,0.03582471,6.394,10.3,1.426647996,1.414032408,28.07187,-3.078792947,-3.007216962
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-07,-0.0584998,6.3625,10.1,1.441646304,1.428916481,29.1439,-3.076132519,-2.993633187
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-08,-0.2321367,5.68,10.2,1.454528042,1.443800553,30.33317,-3.073472092,-2.980333944
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-09,0.1273732,5.6425,10.1,1.465199932,1.458684626,30.36581,-3.070811665,-2.96731815
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-10,-0.363639,5.44,10,1.473568699,1.473568699,29.92973,-3.068151237,-2.95458472
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-11,-0.3152052,5.68,9.7,1.47959233,1.472344689,28.54721,-3.06549081,-2.94213257
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1994-12,0.1271306,6.5975,9.6,1.483433873,1.471120679,29.38548,-3.062830382,-2.929960616
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-01,0.2679586,7.838,9.6,1.511009005,0.903793706,28.01768,-2.835895202,-2.837135472
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-02,1.73739,8.118,9.6,1.470086466,0.906648564,28.76619,-2.84307763,-2.845735678
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-03,1.866989,8.314782,9.7,1.423660131,0.909503421,30.08287,-2.850260058,-2.85450719
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-04,2.09873,8.148421,9.5,1.371550451,0.912358279,29.84478,-2.857442486,-2.863443808
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-05,2.720329,7.561364,9.5,1.313577878,0.915213137,31.02456,-2.864624914,-2.872539331
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-06,2.601679,7.047727,9.5,1.249562863,0.918067994,31.57209,-2.871807342,-2.881787557
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-07,2.72427,6.666,9.6,1.179325859,0.920922852,32.1851,-2.87898977,-2.891182286
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-08,2.635107,6.586818,9.5,1.102687317,0.92377771,31.49921,-2.886172198,-2.900717317
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-09,2.403683,6.6875,9.2,1.019467688,0.926632567,31.59022,-2.893354626,-2.910386449
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-10,2.523847,6.697619,9.3,0.929487425,0.929487425,31.09793,-2.900537054,-2.920183482
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-11,2.441542,6.008095,9.2,0.832989007,0.840576433,32.50681,-2.907719482,-2.930102213
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1995-12,1.77674,5.895263,9.4,0.731903028,0.751665442,32.87196,-2.91490191,-2.940136443
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-01,1.822691,5.546818,9.4,-0.314190494,0.112649395,34.64955,-3.53226506,-3.542436636
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-02,1.536082,5.222857,9.5,-0.286662408,0.107777861,34.40749,-3.517574545,-3.537488171
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-03,1.639287,5.214762,9.6,-0.255626153,0.102906327,34.66629,-3.50288403,-3.53211704
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-04,1.455621,5.008572,9.3,-0.220975189,0.098034793,35.89119,-3.488193515,-3.5263301
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-05,1.451682,4.809091,9.2,-0.18260298,0.093163259,36.5881,-3.473503001,-3.520134209
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-06,1.490557,4.849,9.8,-0.140402986,0.088291725,35.17706,-3.458812486,-3.513536226
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-07,1.406179,4.732727,9.7,-0.094268671,0.083420192,34.37561,-3.444121971,-3.50654301
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-08,1.415304,4.267619,9.4,-0.044093495,0.078548658,35.86999,-3.429431456,-3.499161418
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-09,1.367597,4.0785,9.9,0.01022908,0.073677124,36.89962,-3.414740941,-3.49139831
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-10,1.378294,3.516818,9.9,0.06880559,0.06880559,39.04586,-3.400050426,-3.483260542
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-11,1.353562,3.0195,9.9,0.131526892,0.131554306,41.95992,-3.385359911,-3.474754974
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1996-12,1.835616,3.1225,9.7,0.19742111,0.194303022,41.33477,-3.370669396,-3.465888464
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1997-01,1.783967,3.152727,9.5,1.442922853,1.253113411,42.60787,-2.069087552,-2.06437947
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1997-02,1.80695,3.116,9.5,1.436071634,1.260453526,42.94443,-2.060271017,-2.05109972
CAN,CPI,TOT_FOODENRG,AGRWTH,M,1997-03,1.642863,3.2175,9.3,1.427612413,1.267793642,40.7991,-2.051454482,-2.038060251
